year,month,cpi,gdp,federal fund rate,10yr,sp500,crude oil,UNRATE,industrial production,dollar index,home price,gold,vix
2000,1,0.00296208530806,0.071,0.0496369032943,0.0608859030629,-0.00216852512421,0.0354806356582,0.0,0.0,-0.00169914974696,0.00421771440048,0.0022528322398,0.0470646153842
2000,2,0.00413467217956,0.071,0.0336760925463,-0.0199766664512,-0.0257518752821,0.0845217916503,0.025,0.0029,0.0125884687638,0.0057,0.0534513120592,0.0169597448496
2000,3,0.00588235294118,0.012,0.0221121719667,-0.0418918292426,0.0384045230021,0.0203719711955,-0.0243902439024,0.004,-0.000115255939405,0.00894899075271,-0.0466693568876,-0.0371782386642
2000,4,-0.000584795321637,0.012,0.0235374703785,-0.0423896854122,0.0132728099822,-0.145763531827,-0.05,0.0073,0.00563303438031,0.0105449886666,-0.0212984495827,0.195699383955
2000,5,0.00175541252194,0.012,0.0446503181563,0.0740867123175,-0.0293396950015,0.128013752527,0.0526315789474,0.0018,0.0220187719105,0.0113126584747,-0.0183751051874,-0.0291202539214
2000,6,0.00584112149533,0.078,0.0432823980509,-0.0520994234181,0.030652218849,0.0945670869301,0.0,0.0009,-0.0101147944717,0.0111861137898,0.0406361960401,-0.183261233002
2000,7,0.00290360046458,0.078,-0.00474009299812,-0.00762502518773,0.00755384275707,-0.057522493197,0.0,-0.0014,0.00248434013913,0.00820141140568,-0.0157559782783,-0.0764623955432
2000,8,0.0,0.078,-0.00243787747948,-0.0361287180662,0.00845603511875,0.0478360207089,0.025,-0.0032,0.00688742999121,0.00756715853197,-0.0247823543562,-0.0907004648771
2000,9,0.00521134916039,0.005,0.00182869751304,-0.0067306287865,-0.011716425381,0.0876481840889,-0.0487804878049,0.0041,0.0116002531468,0.00582050319189,-0.00356919556362,0.0883869339471
2000,10,0.00172811059908,0.005,0.00113665851562,-0.00891225991187,-0.0530701929834,-0.0275999430921,0.0,-0.003,0.0145693588202,0.00550681351503,-0.0130545961318,0.28
2000,11,0.0017251293847,0.005,0.000219042056294,-0.00544503447777,-0.0108675239774,0.0404079998887,0.0,0.0002,0.00814805621864,0.00519818063678,-0.0149679438632,0.0469387755119
2000,12,0.00229621125144,0.023,-0.0110117526822,-0.0850750794172,-0.032076356754,-0.171161311035,0.0,-0.0027,-0.00820963414761,0.00461723150799,0.0224744008217,0.00559616634015
2001,1,0.0057273768614,0.023,-0.0664408055708,-0.0129142602774,0.00352955713315,0.0303193411448,0.0769230769231,-0.0066,-0.00116289527807,0.00395256916996,-0.0225524572016,-0.0607575647425
2001,2,0.00227790432802,0.023,-0.0854139618503,-0.0106928829463,-0.0223688887621,0.0131653896731,0.0,-0.0061,0.00590909387027,0.00384544955136,-0.0137968526449,-0.0604766804356
2001,3,0.000568181818182,-0.011,-0.0339466572024,-0.0423242243777,-0.091825720055,-0.0800605253587,0.0238095238095,-0.0026,0.0163040887848,0.00693177672382,0.00317005828678,0.217210434453
2001,4,0.00170357751278,-0.011,-0.0953914988816,0.0523805975718,0.00336256693511,0.0128206410307,0.0232558139535,-0.0023,0.00770051381604,0.00769927536232,-0.00779458624027,-0.0127318839418
2001,5,0.00510204081633,-0.011,-0.120900367809,0.0465173371262,0.0676824661855,0.0384885018319,-0.0227272727273,-0.0067,-0.000936991021666,0.0085393258427,0.0436686158221,-0.184471070267
2001,6,0.00225606316977,0.021,-0.0662574804358,-0.0212377647409,-0.0249189522663,-0.0383253911649,0.046511627907,-0.0062,0.00654590468421,0.00953654188948,-0.00509172708314,-0.0873259579792
2001,7,-0.00168823860439,0.021,-0.0431429260072,-0.00967507545893,-0.0276604430996,-0.0405158127359,0.0222222222222,-0.0058,0.00327395657588,0.00847532444601,-0.0121494282243,0.0656964184188
2001,8,0.0,0.021,-0.0327948746022,-0.0476092210301,-0.0215396371488,0.0318125602845,0.0652173913043,-0.0018,-0.016362519892,0.00665324345618,0.0201101533901,-0.0203641990906
2001,9,0.00394588500564,-0.013,-0.19072768117,-0.0467325364646,-0.113585922922,-0.0466881503512,0.0204081632653,-0.0035,0.00271573007585,0.004174276024,0.038262073795,0.603959004549
2001,10,-0.00280741156654,-0.013,-0.154640841996,-0.0389910531608,0.0305811690681,-0.146788495128,0.06,-0.0045,0.00666880595531,0.0018186541959,-0.00235183371064,-0.0668474747757
2001,11,-0.000563063063063,-0.013,-0.157412790698,0.0173449609868,0.0493157814103,-0.114489420425,0.0377358490566,-0.0052,0.00424082583331,0.00138312586445,-0.0243443900798,-0.186128031513
2001,12,-0.00056338028169,0.011,-0.13875711575,0.0915581692302,0.0134964075508,-0.0135141101451,0.0363636363636,0.0005,0.00092521180356,0.00189917127072,0.00190373311597,-0.109307107735
2002,1,0.00169109357384,0.011,-0.0355536320848,-0.0111329909038,-0.00412460233377,0.0167681253194,0.0,0.0057,0.0118307258816,0.00327416853352,0.0190819001872,-0.061852565645
2002,2,0.00168823860439,0.011,-0.00264803973566,-0.0182838876014,-0.0346767299388,0.0520421398198,0.0,0.0002,0.00575485806639,0.00412229474407,0.0509839901994,0.0279933640341
2002,3,0.00280898876405,0.037,-0.0115244409982,0.0774947695141,0.0482634244901,0.177599147986,0.0,0.0081,-0.0055916034539,0.00863838522066,-0.00443824973034,-0.170083287319
2002,4,0.00448179271709,0.037,0.0187962382469,-0.0158146612539,-0.0361910511436,0.074305777686,0.0350877192982,0.0041,-0.00289400336936,0.0108538963792,0.0287095247,0.0482198865157
